
"SiteMinder","https://www.siteminder.com/"","SiteMinder_News"","None","None"
"First Opinion","http://FirstOpinionApp.com","FirstOpinionApp"","mckaythomas","Jaymon"
"Groupalia","http://www.groupalia.com","groupaliaES"","joaquinengel","None"
"Now Account Network","https://nowcorp.com/"","nowaccount?lang=en"","None","None"
"Semasio","http://www.semasio.com","SemasioGlobal"","None","None"
"Yidinghuo","https://www.dinghuo123.com/"","None","None","None"
"Weave","http://www.getweave.com","getweave"","brandonrodman","clinton_berry"
"Yunmanman","https://www.ymm56.com","None","None","None"
"Target2Sell","http://www.target2sell.com/en/"","target2sell"","Ziserman","None"
"PRIVIT","https://privit.com/"","PrivitProfile"","None","None"
"Bluebox","http://www.bluebox.com","BlueboxSec"","PamKostka","None"
"Element","http://www.element8angels.com","None","None","None"
"Facelift","https://www.facelift-bbt.com","FACELIFTbbt"","None","None"
"Sage Intacct","https://www.sageintacct.com/"","SageIntacct"","None","None"
"CitiusTech","http://citiustech.com","CitiusTech"","rizwankoita","None"
"WebInterpret","https://webinterpret.com/"","WebInterpret_En"","None","None"
"FittingBox","http://www.fittingbox.com","FittingBox"","None","BeN_Fittingbox"
"Mobio Technologies","https://www.google.com/finance?q=CVE:MBO"","None","None","None"
"Method:CRM","https://www.method.me","MethodCRM"","None","None"
"Sensorberg","http://www.sensorberg.com","sensorberg"","None","None"
"Booktrack","http://www.booktrack.com","booktrack"","None","None"
"Slack","https://www.google.com/finance?q=NYSE:WORK"","None","None","None"
"HELIX","http://www.helix.com/"","my_helix"","None","scottmburke"
"Serious Labs","http://seriouslabs.com/"","SeriousLabs"","None","None"
"Bellabeat","http://www.bellabeat.com","GetBellaBeat"","mursandro","None"
"Rigetti Computing","http://www.rigetti.com/"","rigetti"","None","None"
"Activ Technologies","http://activtech.com","ActivTech"","None","None"
"Vlocity","https://vlocity.com/"","vlocity"","davidschmaier?lang=en","None"
"PropTech Holdings","https://proptechholdings.com","None","None","None"
"Riskmethods","http://www.riskmethods.net/en"","riskmethods1"","None","None"
"Crol","https://www.crol.mx","CrolMX"","None","None"
"Payapps","http://www.payapps.com","payappssoftware"","None","None"
"Rentlytics","http://www.rentlytics.com","rentlytics"","None","None"
"GreenPocket","https://www.greenpocket.com/"","GreenPocketGmbH"","None","None"
"Grapeshot","http://www.grapeshot.com","Grapeshot_"","None","wizeline"
"Influere.io","http://www.influere.io","None","None","None"
"Pushfor","http://www.pushfor.com","Pushfor"","None","None"
"Abiquo Group","http://www.abiquo.com","abiquo"","None","None"
"iQVCloud","http://www.iqvcloud.net","None","None","None"
"Flexport","https://www.flexport.com/"","flexport"","typesfast","None"
"Agritek Holdings Inc","https://www.google.com/finance?q=OTCQB:AGTK"","None","None","None"
"Boundary","http://www.boundary.com","boundary"","None","None"
"GetOne Rewards","http://getonerewards.com","GetOneRewards"","None","Justin_Michela"
"Liaison Technologies","http://www.liaison.com","Liaisontech"","None","None"
"Confide","http://getconfide.com","GetConfide"","None","hongrich"
"Weka.IO","http://www.weka.io","wekaio"","None","7MPS"
"4C Insights","http://www.4cinsights.com","4cinsights"","None","None"
"6sense","http://www.6sense.com","6SenseInc"","None","viralbajaria?lang=en"
"PeopleDoc","http://www.people-doc.com","peopledoc_inc"","johnbenhamou","None"
"IDV Solutions","http://www.idvsolutions.com","idvsolutions"","None","None"
"Clio","https://www.clio.com","goclio"","jack_newton","None"
"Silent Herdsman","http://silentherdsman.com","SilentHerdsman"","None","None"
"FamiHero","http://www.famihero.com","famihero"","srobbes","zenanny"
"Addapp","https://addapp.io/"","addappio"","None","None"
"Blackford Analysis","http://www.blackfordanalysis.com","blackford"","None","None"
"Tamoco","http://www.tamoco.com","tamocotech"","dsva","None"
"MemSQL","http://www.memsql.com","memsql"","None","None"
"Babel Street","http://babelstreet.com","babelstreet"","None","None"
"MyActivityPal","http://www.myactivitypal.com","activitypal"","IkeSingh","None"
"Freightos","https://www.freightos.com","freightos"","None","None"
"Foradian","http://www.foradian.com","foradian"","None","None"
"Mirada Medical","http://mirada-medical.com","MiradaMedical"","None","None"
"KYON","http://www.kyontracker.com","kyontracker"","None","None"
"Mekitec","http://mekitec.com","Mekitec"","None","None"
"Wunwun","http://wunwun.com","wunwun"","calvinwl","None"
"LoginRadius","http://www.loginradius.com","LoginRadius"","None","dip_ak"
"Dodles","http://dodl.es/"","dodles_"","cragi","None"
"Speek","http://www.speek.com","SpeekApp"","johnbracken","SpeekMatt"
"Campaign Monitor","http://www.campaignmonitor.com","campaignmonitor"","None","None"
"Three Day Rule","http://threedayrule.com","threedayrule"","None","None"
"Act-On Software","http://www.act-on.com","ActOnSoftware"","None","None"
"Fuel3D","http://www.fuel-3d.com","Fuel_3D"","None","None"
"ServiceMax","http://www.servicemax.com","ServiceMax"","None","None"
"Ants Technology","http://ants-technology.com","ants_technology"","None","None"
